[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 83.5 GB for 52970 items (avail 256 GB)
[ramcache] 10000/52970  (166s)
[ramcache] 20000/52970  (312s)
[ramcache] 30000/52970  (459s)
[ramcache] 40000/52970  (605s)
[ramcache] 50000/52970  (751s)
[ramcache] cached 52970 items in 12.6 min
[train] params=60.71M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  14000 | l1=0.1189 total=0.195 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  14200 | l1=0.1179 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  14400 | l1=0.1170 total=0.177 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  14600 | l1=0.1160 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  14800 | l1=0.1162 total=0.179 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  15000 | l1=0.1137 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[ckpt] saved -> act_results/Spatial/runs/act_deeponet/checkpoints/15000 (EMA weights)
[act_deeponet] step  15200 | l1=0.1147 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  15400 | l1=0.1140 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  15600 | l1=0.1144 total=0.190 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  15800 | l1=0.1123 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  16000 | l1=0.1120 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  16200 | l1=0.1127 total=0.160 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  16400 | l1=0.1115 total=0.164 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  16600 | l1=0.1109 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
