[train] variant=act dataset=lerobot/libero_spatial_image -> act_results/Spatial/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[train] params=88.28M frames=52970 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  14600 | l1=0.0713 total=0.115 phgate=- act=0 | VRAM=9.27GB | 0.117s/it
[act] step  14800 | l1=0.0703 total=0.117 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  15000 | l1=0.0689 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Spatial/runs/act/checkpoints/15000 (EMA weights)
[act] step  15200 | l1=0.0696 total=0.122 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  15400 | l1=0.0694 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.124s/it
[act] step  15600 | l1=0.0687 total=0.122 phgate=- act=0 | VRAM=9.27GB | 23.358s/it
[act] step  15800 | l1=0.0691 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  16000 | l1=0.0683 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.118s/it
[act] step  16200 | l1=0.0677 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.151s/it
[act] step  16400 | l1=0.0681 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  16600 | l1=0.0668 total=0.142 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  16800 | l1=0.0661 total=0.131 phgate=- act=0 | VRAM=9.27GB | 0.111s/it
[act] step  17000 | l1=0.0668 total=0.089 phgate=- act=0 | VRAM=9.27GB | 0.113s/it
[act] step  17200 | l1=0.0665 total=0.100 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  17400 | l1=0.0658 total=0.140 phgate=- act=0 | VRAM=9.27GB | 32.298s/it
[act] step  17600 | l1=0.0651 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.135s/it
[act] step  17800 | l1=0.0650 total=0.117 phgate=- act=0 | VRAM=9.27GB | 0.094s/it
[act] step  18000 | l1=0.0647 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  18200 | l1=0.0640 total=0.139 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  18400 | l1=0.0641 total=0.128 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  18600 | l1=0.0632 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.115s/it
[act] step  18800 | l1=0.0634 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.134s/it
[act] step  19000 | l1=0.0641 total=0.114 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  19200 | l1=0.0625 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.095s/it
[act] step  19400 | l1=0.0621 total=0.113 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  19600 | l1=0.0628 total=0.132 phgate=- act=0 | VRAM=9.27GB | 3.931s/it
[act] step  19800 | l1=0.0614 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  20000 | l1=0.0615 total=0.102 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[ckpt] saved -> act_results/Spatial/runs/act/checkpoints/20000 (EMA weights)
[act] step  20200 | l1=0.0610 total=0.131 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  20400 | l1=0.0605 total=0.088 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  20600 | l1=0.0615 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  20800 | l1=0.0601 total=0.128 phgate=- act=0 | VRAM=9.27GB | 0.113s/it
[act] step  21000 | l1=0.0604 total=0.118 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  21200 | l1=0.0606 total=0.102 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  21400 | l1=0.0596 total=0.104 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  21600 | l1=0.0595 total=0.139 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  21800 | l1=0.0587 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.112s/it
[act] step  22000 | l1=0.0592 total=0.114 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  22200 | l1=0.0588 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  22400 | l1=0.0583 total=0.116 phgate=- act=0 | VRAM=9.27GB | 0.181s/it
[act] step  22600 | l1=0.0595 total=0.154 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  22800 | l1=0.0590 total=0.125 phgate=- act=0 | VRAM=9.27GB | 6.805s/it
[act] step  23000 | l1=0.0571 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.162s/it
[act] step  23200 | l1=0.0584 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  23400 | l1=0.0577 total=0.135 phgate=- act=0 | VRAM=9.27GB | 0.115s/it
[act] step  23600 | l1=0.0572 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  23800 | l1=0.0570 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.116s/it
[act] step  24000 | l1=0.0569 total=0.098 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  24200 | l1=0.0565 total=0.097 phgate=- act=0 | VRAM=9.27GB | 0.121s/it
[act] step  24400 | l1=0.0567 total=0.132 phgate=- act=0 | VRAM=9.27GB | 15.589s/it
[act] step  24600 | l1=0.0566 total=0.096 phgate=- act=0 | VRAM=9.27GB | 0.148s/it
[act] step  24800 | l1=0.0563 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  25000 | l1=0.0556 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[ckpt] saved -> act_results/Spatial/runs/act/checkpoints/25000 (EMA weights)
[act] step  25200 | l1=0.0557 total=0.101 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  25400 | l1=0.0552 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  25600 | l1=0.0547 total=0.113 phgate=- act=0 | VRAM=9.27GB | 13.383s/it
[act] step  25800 | l1=0.0546 total=0.115 phgate=- act=0 | VRAM=9.27GB | 21.217s/it
[act] step  26000 | l1=0.0551 total=0.113 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  26200 | l1=0.0542 total=0.104 phgate=- act=0 | VRAM=9.27GB | 0.119s/it
[act] step  26400 | l1=0.0542 total=0.113 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  26600 | l1=0.0542 total=0.118 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  26800 | l1=0.0538 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.114s/it
[act] step  27000 | l1=0.0545 total=0.117 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  27200 | l1=0.0540 total=0.107 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step  27400 | l1=0.0539 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  27600 | l1=0.0530 total=0.136 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  27800 | l1=0.0529 total=0.096 phgate=- act=0 | VRAM=9.27GB | 0.122s/it
[act] step  28000 | l1=0.0529 total=0.111 phgate=- act=0 | VRAM=9.27GB | 0.154s/it
[act] step  28200 | l1=0.0527 total=0.086 phgate=- act=0 | VRAM=9.27GB | 0.111s/it
[act] step  28400 | l1=0.0527 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  28600 | l1=0.0525 total=0.071 phgate=- act=0 | VRAM=9.27GB | 0.120s/it
[act] step  28800 | l1=0.0526 total=0.108 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  29000 | l1=0.0514 total=0.087 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  29200 | l1=0.0524 total=0.097 phgate=- act=0 | VRAM=9.27GB | 0.122s/it
[act] step  29400 | l1=0.0519 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  29600 | l1=0.0519 total=0.120 phgate=- act=0 | VRAM=9.27GB | 0.111s/it
[act] step  29800 | l1=0.0520 total=0.088 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  30000 | l1=0.0514 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[ckpt] saved -> act_results/Spatial/runs/act/checkpoints/30000 (EMA weights)
[train] DONE act steps=30000 wall=436.5min -> act_results/Spatial/runs/act
