[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (164s)
[ramcache] 20000/52042  (303s)
[ramcache] 30000/52042  (443s)
[ramcache] 40000/52042  (582s)
[ramcache] 50000/52042  (711s)
[ramcache] cached 52042 items in 11.9 min
[train] params=88.28M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  24600 | l1=0.0513 total=0.109 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  24800 | l1=0.0517 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  25000 | l1=0.0509 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[ckpt] saved -> act_results/Goal/runs/act/checkpoints/25000 (EMA weights)
[act] step  25200 | l1=0.0503 total=0.118 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  25400 | l1=0.0500 total=0.106 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  25600 | l1=0.0503 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  25800 | l1=0.0502 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  26000 | l1=0.0495 total=0.134 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  26200 | l1=0.0502 total=0.106 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  26400 | l1=0.0501 total=0.152 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  26600 | l1=0.0498 total=0.157 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  26800 | l1=0.0490 total=0.136 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  27000 | l1=0.0492 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  27200 | l1=0.0493 total=0.099 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  27400 | l1=0.0487 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  27600 | l1=0.0483 total=0.132 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  27800 | l1=0.0489 total=0.133 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  28000 | l1=0.0486 total=0.088 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  28200 | l1=0.0474 total=0.080 phgate=- act=0 | VRAM=9.27GB | 0.094s/it
[act] step  28400 | l1=0.0487 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.094s/it
[act] step  28600 | l1=0.0483 total=0.078 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  28800 | l1=0.0476 total=0.092 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  29000 | l1=0.0479 total=0.136 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  29200 | l1=0.0477 total=0.090 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  29400 | l1=0.0475 total=0.084 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  29600 | l1=0.0470 total=0.135 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  29800 | l1=0.0471 total=0.128 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  30000 | l1=0.0473 total=0.145 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[ckpt] saved -> act_results/Goal/runs/act/checkpoints/30000 (EMA weights)
[train] DONE act steps=30000 wall=51.2min -> act_results/Goal/runs/act
