[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_goal_image -> act_results/Goal/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 82.0 GB for 52042 items (avail 254 GB)
[ramcache] 10000/52042  (171s)
[ramcache] 20000/52042  (318s)
[ramcache] 30000/52042  (465s)
[ramcache] 40000/52042  (612s)
[ramcache] 50000/52042  (747s)
[ramcache] cached 52042 items in 12.5 min
[train] params=60.71M frames=52042 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  13200 | l1=0.1053 total=0.135 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  13400 | l1=0.1041 total=0.191 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  13600 | l1=0.1031 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  13800 | l1=0.1040 total=0.139 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  14000 | l1=0.1023 total=0.189 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  14200 | l1=0.1016 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  14400 | l1=0.1012 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  14600 | l1=0.1000 total=0.123 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  14800 | l1=0.0999 total=0.212 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  15000 | l1=0.0996 total=0.189 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/15000 (EMA weights)
[act_deeponet] step  15200 | l1=0.0996 total=0.176 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  15400 | l1=0.0982 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  15600 | l1=0.0989 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  15800 | l1=0.0959 total=0.173 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  16000 | l1=0.0973 total=0.162 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  16200 | l1=0.0974 total=0.162 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  16400 | l1=0.0957 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  16600 | l1=0.0964 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  16800 | l1=0.0947 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  17000 | l1=0.0945 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  17200 | l1=0.0947 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  17400 | l1=0.0931 total=0.148 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  17600 | l1=0.0927 total=0.191 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  17800 | l1=0.0930 total=0.145 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  18000 | l1=0.0922 total=0.127 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  18200 | l1=0.0915 total=0.161 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  18400 | l1=0.0916 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  18600 | l1=0.0912 total=0.135 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  18800 | l1=0.0917 total=0.145 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  19000 | l1=0.0897 total=0.127 phgate=- act=0 | VRAM=6.41GB | 0.075s/it
[act_deeponet] step  19200 | l1=0.0902 total=0.128 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  19400 | l1=0.0895 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  19600 | l1=0.0893 total=0.178 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  19800 | l1=0.0892 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.086s/it
[act_deeponet] step  20000 | l1=0.0891 total=0.133 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[ckpt] saved -> act_results/Goal/runs/act_deeponet/checkpoints/20000 (EMA weights)
[act_deeponet] step  20200 | l1=0.0884 total=0.151 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  20400 | l1=0.0869 total=0.147 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  20600 | l1=0.0873 total=0.162 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  20800 | l1=0.0872 total=0.144 phgate=- act=0 | VRAM=6.41GB | 0.076s/it
