[stage2] step  20849 | mse=0.0540 L1=0.1916 PH=0.0000 total=0.0540 | VRAM=50.3GB | 0.636s/it
[stage2] step  21049 | mse=0.0541 L1=0.1916 PH=0.0000 total=0.0541 | VRAM=50.3GB | 0.635s/it
[stage2] step  21249 | mse=0.0541 L1=0.1935 PH=0.0000 total=0.0541 | VRAM=50.3GB | 0.635s/it
[stage2] step  21449 | mse=0.0531 L1=0.1911 PH=0.0000 total=0.0531 | VRAM=50.3GB | 0.636s/it
[stage2] step  21649 | mse=0.0535 L1=0.1913 PH=0.0000 total=0.0535 | VRAM=50.3GB | 0.636s/it
[ckpt] saved -> deeponet_results/Long/runs/m3_s0/checkpoints/21650  (EMA weights)
[stage2] step  21849 | mse=0.0533 L1=0.1918 PH=0.0000 total=0.0533 | VRAM=50.3GB | 0.639s/it
[stage2] step  22049 | mse=0.0531 L1=0.1898 PH=0.0000 total=0.0531 | VRAM=50.3GB | 0.636s/it
[stage2] step  22249 | mse=0.0521 L1=0.1918 PH=0.0000 total=0.0521 | VRAM=50.3GB | 0.635s/it
[stage2] step  22449 | mse=0.0527 L1=0.1909 PH=0.0000 total=0.0527 | VRAM=50.3GB | 0.635s/it
[stage2] step  22649 | mse=0.0520 L1=0.1886 PH=0.0000 total=0.0520 | VRAM=50.3GB | 0.634s/it
[stage2] step  22849 | mse=0.0521 L1=0.1896 PH=0.0000 total=0.0521 | VRAM=50.3GB | 0.634s/it
[stage2] step  23049 | mse=0.0498 L1=0.1869 PH=0.0000 total=0.0498 | VRAM=50.3GB | 0.636s/it
[stage2] step  23249 | mse=0.0500 L1=0.1850 PH=0.0000 total=0.0500 | VRAM=50.3GB | 0.636s/it
[stage2] step  23449 | mse=0.0500 L1=0.1872 PH=0.0000 total=0.0500 | VRAM=50.3GB | 0.635s/it
[stage2] step  23649 | mse=0.0497 L1=0.1851 PH=0.0000 total=0.0497 | VRAM=50.3GB | 0.635s/it
[stage2] step  23849 | mse=0.0500 L1=0.1858 PH=0.0000 total=0.0500 | VRAM=50.3GB | 0.636s/it
[stage2] step  24049 | mse=0.0496 L1=0.1864 PH=0.0000 total=0.0496 | VRAM=50.3GB | 0.639s/it
[stage2] step  24249 | mse=0.0491 L1=0.1845 PH=0.0000 total=0.0491 | VRAM=50.3GB | 0.635s/it
[stage2] step  24449 | mse=0.0505 L1=0.1845 PH=0.0000 total=0.0505 | VRAM=50.3GB | 0.634s/it
[stage2] step  24649 | mse=0.0490 L1=0.1849 PH=0.0000 total=0.0490 | VRAM=50.3GB | 0.636s/it
[stage2] step  24849 | mse=0.0491 L1=0.1835 PH=0.0000 total=0.0491 | VRAM=50.3GB | 0.636s/it
[stage2] step  25049 | mse=0.0472 L1=0.1818 PH=0.0000 total=0.0472 | VRAM=50.3GB | 0.635s/it
[stage2] step  25249 | mse=0.0468 L1=0.1815 PH=0.0000 total=0.0468 | VRAM=50.3GB | 0.636s/it
[stage2] step  25449 | mse=0.0466 L1=0.1809 PH=0.0000 total=0.0466 | VRAM=50.3GB | 0.634s/it
[stage2] step  25649 | mse=0.0470 L1=0.1795 PH=0.0000 total=0.0470 | VRAM=50.3GB | 0.635s/it
[stage2] step  25849 | mse=0.0467 L1=0.1807 PH=0.0000 total=0.0467 | VRAM=50.3GB | 0.635s/it
[stage2] step  26049 | mse=0.0463 L1=0.1807 PH=0.0000 total=0.0463 | VRAM=50.3GB | 1.901s/it
[stage2] step  26249 | mse=0.0471 L1=0.1811 PH=0.0000 total=0.0471 | VRAM=50.3GB | 1.618s/it
[stage2] step  26449 | mse=0.0463 L1=0.1794 PH=0.0000 total=0.0463 | VRAM=50.3GB | 0.634s/it
[stage2] step  26649 | mse=0.0465 L1=0.1787 PH=0.0000 total=0.0465 | VRAM=50.3GB | 0.907s/it
