[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_object_image -> act_results/Object/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (173s)
[ramcache] 20000/66984  (322s)
[ramcache] 30000/66984  (471s)
[ramcache] 40000/66984  (619s)
[ramcache] 50000/66984  (766s)
[ramcache] 60000/66984  (916s)
[ramcache] cached 66984 items in 16.3 min
[train] params=88.28M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act] step  12200 | l1=0.0749 total=0.122 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  12400 | l1=0.0744 total=0.133 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  12600 | l1=0.0737 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  12800 | l1=0.0726 total=0.114 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  13000 | l1=0.0725 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  13200 | l1=0.0721 total=0.107 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  13400 | l1=0.0732 total=0.124 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  13600 | l1=0.0711 total=0.144 phgate=- act=0 | VRAM=9.27GB | 0.145s/it
[act] step  13800 | l1=0.0700 total=0.125 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  14000 | l1=0.0697 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  14200 | l1=0.0706 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  14400 | l1=0.0694 total=0.141 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  14600 | l1=0.0685 total=0.106 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  14800 | l1=0.0685 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  15000 | l1=0.0674 total=0.129 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[ckpt] saved -> act_results/Object/runs/act/checkpoints/15000 (EMA weights)
[act] step  15200 | l1=0.0677 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  15400 | l1=0.0669 total=0.103 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  15600 | l1=0.0661 total=0.123 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  15800 | l1=0.0664 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  16000 | l1=0.0649 total=0.106 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  16200 | l1=0.0654 total=0.104 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  16400 | l1=0.0660 total=0.121 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  16600 | l1=0.0645 total=0.116 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  16800 | l1=0.0646 total=0.114 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  17000 | l1=0.0639 total=0.093 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  17200 | l1=0.0640 total=0.117 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  17400 | l1=0.0639 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  17600 | l1=0.0626 total=0.116 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  17800 | l1=0.0634 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  18000 | l1=0.0630 total=0.132 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  18200 | l1=0.0612 total=0.109 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  18400 | l1=0.0612 total=0.126 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  18600 | l1=0.0615 total=0.127 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  18800 | l1=0.0613 total=0.101 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  19000 | l1=0.0607 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  19200 | l1=0.0607 total=0.102 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  19400 | l1=0.0590 total=0.102 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  19600 | l1=0.0598 total=0.087 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  19800 | l1=0.0596 total=0.105 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  20000 | l1=0.0589 total=0.110 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Object/runs/act/checkpoints/20000 (EMA weights)
[act] step  20200 | l1=0.0590 total=0.113 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  20400 | l1=0.0588 total=0.100 phgate=- act=0 | VRAM=9.27GB | 0.094s/it
[act] step  20600 | l1=0.0587 total=0.131 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  20800 | l1=0.0576 total=0.106 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  21000 | l1=0.0570 total=0.119 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  21200 | l1=0.0576 total=0.117 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  21400 | l1=0.0573 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  21600 | l1=0.0568 total=0.116 phgate=- act=0 | VRAM=9.27GB | 0.093s/it
