[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 256 GB)
[ramcache] 10000/66984  (174s)
[ramcache] 20000/66984  (325s)
[ramcache] 30000/66984  (476s)
[ramcache] 40000/66984  (627s)
[ramcache] 50000/66984  (776s)
[ramcache] 60000/66984  (925s)
[ramcache] cached 66984 items in 16.5 min
[train] params=60.71M frames=66984 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  14200 | l1=0.1288 total=0.178 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  14400 | l1=0.1274 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  14600 | l1=0.1272 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  14800 | l1=0.1267 total=0.142 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  15000 | l1=0.1243 total=0.208 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/15000 (EMA weights)
[act_deeponet] step  15200 | l1=0.1239 total=0.162 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  15400 | l1=0.1226 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  15600 | l1=0.1238 total=0.179 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  15800 | l1=0.1221 total=0.150 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  16000 | l1=0.1211 total=0.185 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  16200 | l1=0.1198 total=0.196 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  16400 | l1=0.1203 total=0.187 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  16600 | l1=0.1197 total=0.152 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  16800 | l1=0.1199 total=0.186 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  17000 | l1=0.1182 total=0.171 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  17200 | l1=0.1173 total=0.180 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  17400 | l1=0.1178 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  17600 | l1=0.1164 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  17800 | l1=0.1159 total=0.182 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  18000 | l1=0.1142 total=0.146 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  18200 | l1=0.1152 total=0.163 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  18400 | l1=0.1153 total=0.127 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  18600 | l1=0.1140 total=0.170 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  18800 | l1=0.1131 total=0.167 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  19000 | l1=0.1124 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  19200 | l1=0.1117 total=0.175 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  19400 | l1=0.1122 total=0.169 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  19600 | l1=0.1112 total=0.160 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  19800 | l1=0.1115 total=0.165 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  20000 | l1=0.1097 total=0.157 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/20000 (EMA weights)
[act_deeponet] step  20200 | l1=0.1099 total=0.183 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  20400 | l1=0.1102 total=0.162 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  20600 | l1=0.1094 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  20800 | l1=0.1089 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  21000 | l1=0.1075 total=0.146 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  21200 | l1=0.1076 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  21400 | l1=0.1076 total=0.174 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  21600 | l1=0.1064 total=0.185 phgate=- act=0 | VRAM=6.41GB | 0.074s/it
[act_deeponet] step  21800 | l1=0.1064 total=0.164 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  22000 | l1=0.1070 total=0.168 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  22200 | l1=0.1053 total=0.159 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  22400 | l1=0.1063 total=0.166 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  22600 | l1=0.1037 total=0.164 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  22800 | l1=0.1037 total=0.203 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  23000 | l1=0.1051 total=0.176 phgate=- act=0 | VRAM=6.41GB | 0.073s/it
[act_deeponet] step  23200 | l1=0.1033 total=0.141 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  23400 | l1=0.1037 total=0.155 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  23600 | l1=0.1028 total=0.138 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  23800 | l1=0.1025 total=0.181 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24000 | l1=0.1033 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24200 | l1=0.1024 total=0.195 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24400 | l1=0.1012 total=0.159 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  24600 | l1=0.1011 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  24800 | l1=0.1014 total=0.134 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  25000 | l1=0.1002 total=0.139 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[ckpt] saved -> act_results/Object/runs/act_deeponet/checkpoints/25000 (EMA weights)
