[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet_ph dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet_ph
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 254 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (327s)
[ramcache] 30000/101469  (478s)
[ramcache] 40000/101469  (628s)
[ramcache] 50000/101469  (778s)
[ramcache] 60000/101469  (929s)
[ramcache] 70000/101469  (1080s)
[ramcache] 80000/101469  (1230s)
[ramcache] 90000/101469  (1381s)
[ramcache] 100000/101469  (1513s)
[ramcache] cached 101469 items in 25.3 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[ckpt] saved -> act_results/Long/runs/act_deeponet_ph/checkpoints/10000 (EMA weights)
[act_deeponet_ph] step  10200 | l1=0.2558 total=0.341 phgate=active act=0.109 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  10400 | l1=0.2552 total=0.388 phgate=active act=0.172 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  10600 | l1=0.2557 total=0.293 phgate=active act=0.125 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  10800 | l1=0.2543 total=0.303 phgate=active act=0.188 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  11000 | l1=0.2519 total=0.341 phgate=active act=0.109 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  11200 | l1=0.2528 total=0.366 phgate=active act=0.172 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  11400 | l1=0.2503 total=0.335 phgate=active act=0.156 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  11600 | l1=0.2480 total=0.325 phgate=active act=0.219 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  11800 | l1=0.2476 total=0.306 phgate=active act=0.172 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  12000 | l1=0.2484 total=0.294 phgate=active act=0.109 | VRAM=6.41GB | 0.081s/it
[act_deeponet_ph] step  12200 | l1=0.2457 total=0.330 phgate=active act=0.062 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  12400 | l1=0.2463 total=0.342 phgate=active act=0.109 | VRAM=6.41GB | 0.086s/it
[act_deeponet_ph] step  12600 | l1=0.2460 total=0.349 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  12800 | l1=0.2440 total=0.294 phgate=active act=0.078 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  13000 | l1=0.2439 total=0.304 phgate=active act=0.109 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  13200 | l1=0.2412 total=0.267 phgate=active act=0.094 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  13400 | l1=0.2409 total=0.291 phgate=active act=0.109 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  13600 | l1=0.2400 total=0.341 phgate=active act=0.094 | VRAM=6.41GB | 0.089s/it
[act_deeponet_ph] step  13800 | l1=0.2398 total=0.349 phgate=active act=0.141 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  14000 | l1=0.2375 total=0.353 phgate=active act=0.109 | VRAM=6.41GB | 0.089s/it
[act_deeponet_ph] step  14200 | l1=0.2372 total=0.331 phgate=active act=0.062 | VRAM=6.41GB | 0.081s/it
[act_deeponet_ph] step  14400 | l1=0.2361 total=0.314 phgate=active act=0.109 | VRAM=6.41GB | 0.089s/it
[act_deeponet_ph] step  14600 | l1=0.2339 total=0.289 phgate=active act=0.078 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  14800 | l1=0.2363 total=0.304 phgate=active act=0.047 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  15000 | l1=0.2366 total=0.328 phgate=active act=0.109 | VRAM=6.41GB | 0.086s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet_ph/checkpoints/15000 (EMA weights)
[act_deeponet_ph] step  15200 | l1=0.2346 total=0.348 phgate=active act=0.062 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  15400 | l1=0.2317 total=0.329 phgate=active act=0.094 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  15600 | l1=0.2335 total=0.319 phgate=active act=0.078 | VRAM=6.41GB | 0.093s/it
[act_deeponet_ph] step  15800 | l1=0.2306 total=0.308 phgate=active act=0.078 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step  16000 | l1=0.2282 total=0.328 phgate=active act=0.172 | VRAM=6.41GB | 0.088s/it
[act_deeponet_ph] step  16200 | l1=0.2285 total=0.337 phgate=active act=0.031 | VRAM=6.41GB | 0.083s/it
[act_deeponet_ph] step  16400 | l1=0.2301 total=0.301 phgate=active act=0.062 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  16600 | l1=0.2300 total=0.311 phgate=active act=0.062 | VRAM=6.41GB | 0.078s/it
[act_deeponet_ph] step  16800 | l1=0.2294 total=0.314 phgate=active act=0.047 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  17000 | l1=0.2273 total=0.276 phgate=active act=0.094 | VRAM=6.41GB | 0.079s/it
[act_deeponet_ph] step  17200 | l1=0.2277 total=0.301 phgate=active act=0.078 | VRAM=6.41GB | 0.087s/it
[act_deeponet_ph] step  17400 | l1=0.2269 total=0.329 phgate=active act=0.062 | VRAM=6.41GB | 0.075s/it
[act_deeponet_ph] step  17600 | l1=0.2262 total=0.281 phgate=active act=0.156 | VRAM=6.41GB | 0.082s/it
[act_deeponet_ph] step  17800 | l1=0.2233 total=0.310 phgate=active act=0.062 | VRAM=6.41GB | 0.084s/it
[act_deeponet_ph] step  18000 | l1=0.2245 total=0.289 phgate=active act=0.109 | VRAM=6.41GB | 0.085s/it
[act_deeponet_ph] step  18200 | l1=0.2239 total=0.264 phgate=active act=0.078 | VRAM=6.41GB | 0.078s/it
