[train] num_workers -> 48 (cores=56)
[train] variant=act dataset=lerobot/libero_10_image -> act_results/Long/runs/act
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (171s)
[ramcache] 20000/101469  (320s)
[ramcache] 30000/101469  (469s)
[ramcache] 40000/101469  (617s)
[ramcache] 50000/101469  (764s)
[ramcache] 60000/101469  (912s)
[ramcache] 70000/101469  (1061s)
[ramcache] 80000/101469  (1206s)
[ramcache] 90000/101469  (1354s)
[ramcache] 100000/101469  (1482s)
[ramcache] cached 101469 items in 24.7 min
[train] params=88.28M frames=101469 batch=64 steps=30000
[act] step  13600 | l1=0.1397 total=0.201 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  13800 | l1=0.1394 total=0.216 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  14000 | l1=0.1382 total=0.175 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  14200 | l1=0.1392 total=0.187 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step  14400 | l1=0.1348 total=0.204 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  14600 | l1=0.1352 total=0.183 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  14800 | l1=0.1338 total=0.206 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  15000 | l1=0.1322 total=0.187 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Long/runs/act/checkpoints/15000 (EMA weights)
[act] step  15200 | l1=0.1318 total=0.188 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  15400 | l1=0.1324 total=0.199 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  15600 | l1=0.1315 total=0.203 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  15800 | l1=0.1304 total=0.201 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  16000 | l1=0.1291 total=0.186 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  16200 | l1=0.1274 total=0.205 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  16400 | l1=0.1278 total=0.182 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  16600 | l1=0.1265 total=0.197 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  16800 | l1=0.1266 total=0.159 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  17000 | l1=0.1257 total=0.195 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  17200 | l1=0.1260 total=0.181 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  17400 | l1=0.1245 total=0.204 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  17600 | l1=0.1231 total=0.220 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  17800 | l1=0.1233 total=0.189 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  18000 | l1=0.1241 total=0.167 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  18200 | l1=0.1220 total=0.166 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  18400 | l1=0.1202 total=0.173 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  18600 | l1=0.1210 total=0.185 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  18800 | l1=0.1203 total=0.186 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  19000 | l1=0.1202 total=0.196 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  19200 | l1=0.1188 total=0.175 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  19400 | l1=0.1177 total=0.192 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  19600 | l1=0.1172 total=0.169 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  19800 | l1=0.1170 total=0.186 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  20000 | l1=0.1178 total=0.203 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[ckpt] saved -> act_results/Long/runs/act/checkpoints/20000 (EMA weights)
[act] step  20200 | l1=0.1160 total=0.183 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  20400 | l1=0.1166 total=0.151 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step  20600 | l1=0.1151 total=0.146 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  20800 | l1=0.1152 total=0.174 phgate=- act=0 | VRAM=9.27GB | 0.096s/it
[act] step  21000 | l1=0.1142 total=0.218 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  21200 | l1=0.1138 total=0.181 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  21400 | l1=0.1128 total=0.184 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  21600 | l1=0.1123 total=0.151 phgate=- act=0 | VRAM=9.27GB | 0.108s/it
[act] step  21800 | l1=0.1124 total=0.174 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  22000 | l1=0.1127 total=0.193 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  22200 | l1=0.1120 total=0.153 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  22400 | l1=0.1111 total=0.166 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  22600 | l1=0.1110 total=0.196 phgate=- act=0 | VRAM=9.27GB | 0.109s/it
[act] step  22800 | l1=0.1094 total=0.184 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  23000 | l1=0.1103 total=0.186 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  23200 | l1=0.1093 total=0.163 phgate=- act=0 | VRAM=9.27GB | 0.101s/it
[act] step  23400 | l1=0.1078 total=0.191 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  23600 | l1=0.1087 total=0.192 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  23800 | l1=0.1095 total=0.144 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  24000 | l1=0.1067 total=0.142 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  24200 | l1=0.1069 total=0.168 phgate=- act=0 | VRAM=9.27GB | 0.097s/it
[act] step  24400 | l1=0.1066 total=0.137 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  24600 | l1=0.1068 total=0.138 phgate=- act=0 | VRAM=9.27GB | 0.098s/it
[act] step  24800 | l1=0.1063 total=0.148 phgate=- act=0 | VRAM=9.27GB | 0.106s/it
[act] step  25000 | l1=0.1059 total=0.172 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[ckpt] saved -> act_results/Long/runs/act/checkpoints/25000 (EMA weights)
[act] step  25200 | l1=0.1055 total=0.148 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
[act] step  25400 | l1=0.1057 total=0.163 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  25600 | l1=0.1045 total=0.172 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  25800 | l1=0.1041 total=0.180 phgate=- act=0 | VRAM=9.27GB | 0.107s/it
[act] step  26000 | l1=0.1045 total=0.138 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  26200 | l1=0.1045 total=0.159 phgate=- act=0 | VRAM=9.27GB | 0.110s/it
[act] step  26400 | l1=0.1017 total=0.140 phgate=- act=0 | VRAM=9.27GB | 0.099s/it
[act] step  26600 | l1=0.1034 total=0.158 phgate=- act=0 | VRAM=9.27GB | 0.103s/it
[act] step  26800 | l1=0.1033 total=0.135 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  27000 | l1=0.1023 total=0.172 phgate=- act=0 | VRAM=9.27GB | 0.102s/it
[act] step  27200 | l1=0.1021 total=0.179 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  27400 | l1=0.1024 total=0.213 phgate=- act=0 | VRAM=9.27GB | 0.105s/it
[act] step  27600 | l1=0.1002 total=0.218 phgate=- act=0 | VRAM=9.27GB | 0.100s/it
[act] step  27800 | l1=0.1007 total=0.182 phgate=- act=0 | VRAM=9.27GB | 0.104s/it
