[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_10_image -> act_results/Long/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 159.9 GB for 101469 items (avail 256 GB)
[ramcache] 10000/101469  (177s)
[ramcache] 20000/101469  (329s)
[ramcache] 30000/101469  (481s)
[ramcache] 40000/101469  (633s)
[ramcache] 50000/101469  (783s)
[ramcache] 60000/101469  (936s)
[ramcache] 70000/101469  (1088s)
[ramcache] 80000/101469  (1238s)
[ramcache] 90000/101469  (1388s)
[ramcache] 100000/101469  (1521s)
[ramcache] cached 101469 items in 25.4 min
[train] params=60.71M frames=101469 batch=64 steps=30000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[act_deeponet] step  26400 | l1=0.1520 total=0.222 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  26600 | l1=0.1514 total=0.201 phgate=- act=0 | VRAM=6.41GB | 0.077s/it
[act_deeponet] step  26800 | l1=0.1515 total=0.249 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  27000 | l1=0.1510 total=0.225 phgate=- act=0 | VRAM=6.41GB | 0.090s/it
[act_deeponet] step  27200 | l1=0.1493 total=0.209 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  27400 | l1=0.1496 total=0.172 phgate=- act=0 | VRAM=6.41GB | 0.079s/it
[act_deeponet] step  27600 | l1=0.1492 total=0.219 phgate=- act=0 | VRAM=6.41GB | 0.090s/it
[act_deeponet] step  27800 | l1=0.1496 total=0.191 phgate=- act=0 | VRAM=6.41GB | 0.080s/it
[act_deeponet] step  28000 | l1=0.1493 total=0.230 phgate=- act=0 | VRAM=6.41GB | 0.087s/it
[act_deeponet] step  28200 | l1=0.1489 total=0.205 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  28400 | l1=0.1479 total=0.217 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  28600 | l1=0.1483 total=0.200 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  28800 | l1=0.1465 total=0.234 phgate=- act=0 | VRAM=6.41GB | 0.082s/it
[act_deeponet] step  29000 | l1=0.1468 total=0.214 phgate=- act=0 | VRAM=6.41GB | 0.078s/it
[act_deeponet] step  29200 | l1=0.1475 total=0.220 phgate=- act=0 | VRAM=6.41GB | 0.084s/it
[act_deeponet] step  29400 | l1=0.1458 total=0.194 phgate=- act=0 | VRAM=6.41GB | 0.081s/it
[act_deeponet] step  29600 | l1=0.1457 total=0.234 phgate=- act=0 | VRAM=6.41GB | 0.083s/it
[act_deeponet] step  29800 | l1=0.1467 total=0.203 phgate=- act=0 | VRAM=6.41GB | 0.085s/it
[act_deeponet] step  30000 | l1=0.1452 total=0.188 phgate=- act=0 | VRAM=6.41GB | 0.089s/it
[ckpt] saved -> act_results/Long/runs/act_deeponet/checkpoints/30000 (EMA weights)
[train] DONE act_deeponet steps=30000 wall=42.6min -> act_results/Long/runs/act_deeponet
