[train] head=flow variant=baseline seed=0 out=../paper_repro/Spatial/runs/flow_s0
`torch_dtype` is deprecated! Use `dtype` instead!
Loading  HuggingFaceTB/SmolVLM2-500M-Video-Instruct weights ...
Reducing the number of VLM layers to 16 ...
[train] dataset frames=52970 episodes=432 -> 1 epoch = 1104 steps @ batch 48
[train] planned frames seen = 1440000 = 27.19 epochs

=== stage1 | steps=1650 batch=48 trainable: head=99.88M backbone=0.0M ===
[stage2] step  12849 | mse=0.0917 L1=0.1467 PH=0.0000 total=0.0917 | VRAM=53.6GB | 0.668s/it
[stage2] step  13049 | mse=0.0884 L1=0.1484 PH=0.0000 total=0.0884 | VRAM=53.6GB | 0.666s/it
[stage2] step  13249 | mse=0.0923 L1=0.1466 PH=0.0000 total=0.0923 | VRAM=53.6GB | 0.669s/it
[stage2] step  13449 | mse=0.0887 L1=0.1493 PH=0.0000 total=0.0887 | VRAM=53.6GB | 0.668s/it
[stage2] step  13649 | mse=0.0898 L1=0.1471 PH=0.0000 total=0.0898 | VRAM=53.6GB | 0.674s/it
[stage2] step  13849 | mse=0.0925 L1=0.1452 PH=0.0000 total=0.0925 | VRAM=53.6GB | 0.667s/it
[stage2] step  14049 | mse=0.0878 L1=0.1461 PH=0.0000 total=0.0878 | VRAM=53.6GB | 0.667s/it
[stage2] step  14249 | mse=0.0862 L1=0.1455 PH=0.0000 total=0.0862 | VRAM=53.6GB | 0.670s/it
[stage2] step  14449 | mse=0.0852 L1=0.1438 PH=0.0000 total=0.0852 | VRAM=53.6GB | 0.668s/it
[stage2] step  14649 | mse=0.0851 L1=0.1466 PH=0.0000 total=0.0851 | VRAM=53.6GB | 0.682s/it
[stage2] step  14849 | mse=0.0846 L1=0.1447 PH=0.0000 total=0.0846 | VRAM=53.6GB | 0.672s/it
[stage2] step  15049 | mse=0.0835 L1=0.1430 PH=0.0000 total=0.0835 | VRAM=53.6GB | 0.670s/it
[stage2] step  15249 | mse=0.0851 L1=0.1435 PH=0.0000 total=0.0851 | VRAM=53.6GB | 0.672s/it
[stage2] step  15449 | mse=0.0823 L1=0.1428 PH=0.0000 total=0.0823 | VRAM=53.6GB | 0.671s/it
[stage2] step  15649 | mse=0.0849 L1=0.1417 PH=0.0000 total=0.0849 | VRAM=53.6GB | 0.675s/it
[stage2] step  15849 | mse=0.0819 L1=0.1435 PH=0.0000 total=0.0819 | VRAM=53.6GB | 0.677s/it
