[train] num_workers -> 48 (cores=56)
[train] variant=act_deeponet dataset=lerobot/libero_object_image -> act_results_gripfix/Object/runs/act_deeponet
WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
/home/user/Desktop/Ayush PH test/ACT/lang_encoder.py:40: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=n_layers)
[ramcache] est 105.6 GB for 66984 items (avail 254 GB)
[ramcache] 10000/66984  (178s)
[ramcache] 20000/66984  (331s)
[ramcache] 30000/66984  (483s)
[ramcache] 40000/66984  (636s)
[ramcache] 50000/66984  (789s)
[ramcache] 60000/66984  (941s)
[ramcache] cached 66984 items in 16.8 min
[train] params=61.80M frames=66984 batch=64 steps=30000
[act_deeponet] step  15600 | l1=0.1163 total=0.165 phgate=- act=0 | VRAM=6.44GB | 0.078s/it
[act_deeponet] step  15800 | l1=0.1156 total=0.177 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  16000 | l1=0.1152 total=0.178 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  16200 | l1=0.1157 total=0.160 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  16400 | l1=0.1159 total=0.191 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  16600 | l1=0.1139 total=0.166 phgate=- act=0 | VRAM=6.44GB | 0.079s/it
[act_deeponet] step  16800 | l1=0.1133 total=0.176 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  17000 | l1=0.1129 total=0.168 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  17200 | l1=0.1128 total=0.198 phgate=- act=0 | VRAM=6.44GB | 0.085s/it
[act_deeponet] step  17400 | l1=0.1118 total=0.162 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  17600 | l1=0.1116 total=0.176 phgate=- act=0 | VRAM=6.44GB | 0.076s/it
[act_deeponet] step  17800 | l1=0.1109 total=0.173 phgate=- act=0 | VRAM=6.44GB | 0.093s/it
[act_deeponet] step  18000 | l1=0.1098 total=0.183 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  18200 | l1=0.1097 total=0.165 phgate=- act=0 | VRAM=6.44GB | 0.084s/it
[act_deeponet] step  18400 | l1=0.1098 total=0.185 phgate=- act=0 | VRAM=6.44GB | 0.080s/it
[act_deeponet] step  18600 | l1=0.1089 total=0.150 phgate=- act=0 | VRAM=6.44GB | 0.083s/it
[act_deeponet] step  18800 | l1=0.1076 total=0.166 phgate=- act=0 | VRAM=6.44GB | 0.074s/it
[act_deeponet] step  19000 | l1=0.1077 total=0.167 phgate=- act=0 | VRAM=6.44GB | 0.081s/it
[act_deeponet] step  19200 | l1=0.1072 total=0.168 phgate=- act=0 | VRAM=6.44GB | 0.082s/it
